Freebase Code,Name,Description,Detailed Description
/m/07mqps,Dutch Americans,People,"Dutch Americans are Americans of Dutch and Flemish descent whose ancestors came from the Low Countries in the distant past, or from the Netherlands as from 1830 when the Flemish became independent from the United Kingdom of the Netherlands by creating the Kingdom of Belgium. "
/m/01g7zj,Mexican Americans,Race,"Mexican Americans are Americans of Mexican heritage. In 2022, Mexican Americans comprised 11.2% of the US population and 58.9% of all Hispanic and Latino Americans. In 2019, 71% of Mexican Americans were born in the United States. "
/m/01xhh5,Koreans,Ethnic group,"Koreans are an East Asian ethnic group and nation native to Korea. The majority of Koreans live in the two Korean nation states of North and South Korea, which are collectively referred to as Korea. "
/m/03bx0k4,Hongkongers,People,"Hongkongers, Hong Kongers, Hong Kongese, Hongkongese, Hong Kong citizens and Hong Kong people are demonyms that refer to a resident of Hong Kong, although they may also refer to others who were born and/or raised in the territory.
"
/m/0g96wd,White British,Ethnicity,"White British is an ethnicity classification used for the native White population identifying as English, Scottish, Welsh, Cornish, Northern Irish, or British in the United Kingdom Census. "
/m/02g7sp,Irish people in Great Britain,People,"Irish people in Great Britain or British Irish are immigrants from the island of Ireland living in Great Britain as well as their British-born descendants.
Irish migration to Great Britain has occurred from the earliest recorded history to the present. "
/m/09m6hr,Telugu people,Ethno-linguistic group,"Telugu people, also called Āndhras, are an ethno-linguistic group who speak the Telugu language and are native to the Indian states of Andhra Pradesh, Telangana and Yanam district of Puducherry. "
/m/063k3h,Scotch-Irish Americans,People,Scotch-Irish Americans are American descendants of primarily Ulster Scots people who emigrated from Ulster to the United States during the 18th and 19th centuries. 
/m/0g0x7_,Gujarati people,Ethnolinguistic group,"The Gujarati people, or Gujaratis, are an Indo-Aryan ethnolinguistic group who reside in or can trace their ancestry or heritage to a region of the Indian subcontinent primarily centered in the present-day western Indian state of Gujarat. "
/m/03ttfc,Spaniards,People,"Spaniards, or Spanish people, are a people native to Spain. Within Spain, there are a number of national and regional ethnic identities that reflect the country's complex history, including a number of different languages, both indigenous and local linguistic descendants of the Roman-imposed Latin language, of which Spanish is the largest and the only one that is official throughout the whole country.
"
/m/023mqw,Not found,Not found,Not found
/m/0d2by,Chinese Americans,People,Chinese Americans are Americans of Chinese ancestry. Chinese Americans constitute a subgroup of East Asian Americans which also constitute a subgroup of Asian Americans. 
/m/09kr66,Russian Americans,Ethnicity,"Russian Americans are Americans of full or partial Russian ancestry. The term can apply to recent Russian immigrants to the United States, as well as to those who settled in the 19th-century Russian possessions in northwestern America. "
/m/042gtr,Not found,Not found,Not found
/m/025rpb0,Hispanic and Latino Americans,Race,"Hispanic and Latino Americans are Americans of full or partial Spanish and/or Latin American background, culture, or family origin. These demographics include all Americans who identify as Hispanic or Latino regardless of race. "
/m/08hpk0,Hungarian Americans,People,Hungarian Americans are Americans of Hungarian descent. The U.S. Census Bureau has estimated that there are approximately 1.396 million Americans of Hungarian descent as of 2018. 
/m/038723,Greek Americans,People,Greek Americans are Americans of full or partial Greek ancestry. The lowest estimate is that 1.2 million Americans are of Greek descent while the highest estimate suggests over 3 million. 
/m/0583cz,Kayastha,N/A,"Kayastha denotes a cluster of disparate Indian communities broadly categorised by the regions of the Indian subcontinent in which they were traditionally located—the Chitraguptavanshi Kayasthas of North India, the Chandraseniya Kayastha Prabhus of Maharashtra, the Bengali Kayasthas of Bengal and Karanas of Odisha. "
/m/022dp5,Polish Americans,People,"Polish Americans are Americans who either have total or partial Polish ancestry, or are citizens of the Republic of Poland. There are an estimated 8.81 million self-identified Polish Americans, representing about 2.67% of the U.S. population, according to the 2021 American Community Survey conducted by the U.S. "
/m/0cmdl5l,Tamil Brahmin,N/A,"Tamil Brahmins are an ethnoreligious community of Tamil-speaking Hindu Brahmins, predominantly living in Tamil Nadu, though they number significantly in Andhra Pradesh, Karnataka, Kerala and Telangana in addition to other regions of India. "
/m/03vv99,British Americans,People,"British Americans usually refers to Americans whose ancestral origin originates wholly or partly in the United Kingdom. It is primarily a demographic or historical research category for people who have at least partial descent from peoples of Great Britain and the modern United Kingdom, i.e. "
/m/029f2r,Sindhis,Ethnolinguistic group,"Sindhis are an Indo-Aryan ethnolinguistic group, originating from and native to Sindh region of Pakistan, who share a common Sindhi culture, history and language. "
/m/09k5jvk,Mexicans,People,"Mexicans are the citizens and nationals of the United Mexican States. The Mexican people have varied origins with the most spoken language being Spanish, but many also speak languages from 68 different Indigenous linguistic groups and other languages brought to Mexico by expatriates or recent immigration. "
/m/0cnvdq1,Nordic and Scandinavian Americans,People,"Nordic and Scandinavian Americans are Americans of Scandinavian and/or Nordic ancestry, including Danish Americans, Faroese Americans, Finnish Americans, Greenlandic Americans, Icelandic Americans, Norwegian Americans, and Swedish Americans. "
/m/06v41q,French Americans,Ethnicity,"French Americans or Franco-Americans are citizens or nationals of the United States who identify themselves with having full or partial French or French-Canadian heritage, ethnicity and/or ancestral ties. "
/m/04gfy7,Indian Americans,Ethnic group,"Indian Americans are people with ancestry from India who are citizens or permanent residents of the United States. The terms Asian Indian and East Indian are used to avoid confusion with Native Americans in the United States, who are also referred to as ""Indians"" or ""American Indians"". "
/m/0bymc,Parsis,People,"The Parsis or Parsees are a Zoroastrian community in the Indian subcontinent. They are descended from Persian refugees who migrated to the Indian subcontinent during and after the Arab-Islamic conquest of Iran in the 7th century, when Zoroastrians were persecuted by the early Muslims. "
/m/0cn68,Japanese Americans,Ethnicity,"Japanese Americans are Americans of Japanese ancestry. Japanese Americans were among the three largest Asian American ethnic communities during the 20th century; but, according to the 2000 census, they have declined in ranking to constitute the sixth largest Asian American group at around 1,469,637, including those of partial ancestry.
"
/m/09v5bdn,Puerto Ricans,Ethnic group,"Puerto Ricans, most commonly known as Boricuas, but also occasionally referred to as Borinqueños, Borincanos, or Puertorros, are an ethnic group native to the Caribbean archipelago and island of Puerto Rico, and a nation identified with the Commonwealth of Puerto Rico through ancestry, culture, or history. "
/m/05l3g_,Dutch people,Ethnic group,The Dutch are an ethnic group native to the Netherlands. They share a common ancestry and culture and speak the Dutch language. 
/m/0268_k,Danes,Ethnic group,"Danes, or Danish people, are an ethnic group and nationality native to Denmark and a modern nation identified with the country of Denmark. This connection may be ancestral, legal, historical, or cultural.
"
/m/0dqqwy,Danish Americans,People,"Danish Americans are Americans who have ancestral roots originated fully or partially from Denmark. There are approximately 1,300,000 Americans of Danish origin or descent.
Most Danes who came to the United States after 1865 did so for economic reasons. "
/m/075_n6,Bunt,N/A,"The Bunt people are an Indian community who historically have inhabited the Tulu Nadu region in South India. Bunts were traditionally a warrior-class or martial caste community, with agrarian origins, forming the landed gentry of the region. "
/m/0bbz66j,Australians,Ethnicity,"Australians, colloquially known as Aussies, are the citizens, nationals and individuals associated with the country of Australia. This connection may be residential, legal, historical or ethno-cultural. For most Australians, these connections exist and are collectively the source of their being Australian. "
/m/02rbdlq,Scottish Canadians,People,"Scottish Canadians are people of Scottish descent or heritage living in Canada. As the third-largest ethnic group in Canada and amongst the first Europeans to settle in the country, Scottish people have made a large impact on Canadian culture since colonial times. "
/m/0bkbz,Not found,Not found,Not found
/m/01336l,Asian Americans,People,"Asian Americans are Americans with ancestry from the continent of Asia. Although this term had historically been used for all the indigenous peoples of the continent of Asia, the usage of the term ""Asian"" by the United States Census Bureau is a race group that only includes people with origins or ancestry from East Asia, South Asia, Southeast Asia, and select parts of Central Asia and excludes people with ethnic origins in certain parts of Asia, including West Asia who will be categorized as Middle Eastern Americans starting from the 2030 census. "
/m/04dbw3,Cuban Americans,Ethnicity,"Cuban Americans are Americans who immigrated from or are descended from immigrants from Cuba, regardless of racial or ethnic origin. "
/m/0fqz6,Cajuns,Ethnicity,"The Cajuns, also known as Louisiana Acadians, are a Louisiana French ethnicity mainly found in the US state of Louisiana and surrounding Gulf Coast states.
"
/m/06j2v,Romani people,Ethnic group,"The Romani people, also known as the Roma, are an ethnic group of Indo-Aryan origin who traditionally lived a nomadic, itinerant lifestyle. "
/m/046cwm,Nair,People,"The Nair also known as Nayar, are a group of Indian Hindu castes, described by anthropologist Kathleen Gough as ""not a unitary group but a named category of castes"". "
/m/0g6ff,Not found,Not found,Not found
/m/0432mrk,Indigenous peoples of the Americas,People,"In the Americas, indigenous peoples comprise the two continents' pre-Columbian inhabitants prior to European settlement in the 15th century, as well as the ethnic groups that identify with the pre-Columbian population of the Americas as such. "
/m/0gkxl2,Stateside Puerto Ricans,Ethnicity,"Stateside Puerto Ricans, also ambiguously known as Puerto Rican Americans, or Puerto Ricans in the United States, are Puerto Ricans who are in the United States proper of the 50 states and the District of Columbia who were born in or trace any family ancestry to the unincorporated US territory of Puerto Rico.
"
/m/02p1pl6,Not found,Not found,Not found
/m/03w9bjf,British Indians,People,N/A
/m/04tvpv,Not found,Not found,Not found
/m/027n1m6,Not found,Not found,Not found
/m/09743,Not found,Not found,Not found
/m/0bhsnb,Sri Lankan Tamils,People,"Sri Lankan Tamils, also known as Ceylon Tamils or Eelam Tamils, are Tamils native to the South Asian island state of Sri Lanka. "
/m/013b6_,Ashkenazi Jews,People,Ashkenazi Jews constitute a Jewish diaspora population that emerged in the Holy Roman Empire around the end of the first millennium CE. 
/m/048sp5,Ezhava,N/A,"The Ezhavas, also known as Thiyya or Tiyyar in the Malabar region, are a community with origins in the region of India presently known as Kerala, where in the 2010s they constituted about 23% of the population and were reported to be the largest Hindu community. "
/m/0h2138,Czech Americans,People,"Czech Americans, known in the 19th and early 20th century as Bohemian Americans, are citizens of the United States whose ancestry is wholly or partly originate from the Czech lands, a term which refers to the majority of the traditional lands of the Bohemian Crown, namely Bohemia, Moravia and Czech Silesia. "
/m/02y_9mh,Kanyakubja Brahmin,N/A,Kanyakubja Brahmins are an endogamous Brahmin community mainly found in northern India. They are classified as one of the Pancha Gauda Brahmin communities.
/m/02jvpv,Kiwi,N/A,"""Kiwi"" is a common self-reference used by New Zealanders, though it is also used internationally. It is generally viewed as a symbol of pride and affection for most people of New Zealand.
"
/m/0dbxy,Cherokee,People,"The Cherokee people are one of the Indigenous peoples of the Southeastern Woodlands of the United States. Prior to the 18th century, they were concentrated in their homelands, in towns along river valleys of what is now southwestern North Carolina, southeastern Tennessee, southwestern Virginia, edges of western South Carolina, northern Georgia and northeastern Alabama consisting of around 40,000 square miles.
"
/m/02vsw1,European Americans,People,European Americans are Americans of European ancestry. This term includes both people who descend from the first European settlers in the area of the present-day United States and people who descend from more recent European arrivals. 
/m/08cjt2,Not found,Not found,Not found
/m/013s3n,Czechs,Ethnic group,"The Czechs, or the Czech people, are a West Slavic ethnic group and a nation native to the Czech Republic in Central Europe, who share a common ancestry, culture, history, and the Czech language.
"
/m/09zyn5,Norwegians,Ethnic group,"Norwegians are an ethnic group and nation native to Norway, where they form the vast majority of the population. They share a common culture and speak the Norwegian language. "
/m/0cm7w1,Biharis,People,"Bihari is a demonym given to the inhabitants of the Indian state of Bihar. Bihari people can be separated into three main Indo-Aryan ethnolinguistic groups, Bhojpuris, Maithils and Magadhis. "
/m/04q7gbh,Americans,People,"Americans are the citizens and nationals of the United States. The United States is home to people of many racial and ethnic origins; consequently, American law does not equate nationality with race or ethnicity but with citizenship. "
/m/0fj1k9,Sicilian Americans,People,"Sicilian Americans are Italian Americans who are fully or partially of Sicilian descent, whose ancestors were Sicilians who emigrated to United States during the Italian diaspora, or Sicilian-born people in U.S. "
/m/0fqp6zk,Bengali Hindus,Ethnic group,"Bengali Hindus are an ethnoreligious population who make up the majority in the Indian states of West Bengal, Tripura, Andaman and Nicobar Islands, Jharkhand, and Assam's Barak Valley region. In Bangladesh, they form the largest minority. "
/m/04f581,Norwegian Americans,N/A,Norwegian Americans are Americans with ancestral roots in Norway. Norwegian immigrants went to the United States primarily in the latter half of the 19th century and the first few decades of the 20th century. 
/m/012c1l,French Canadians,Ethnic group,"French Canadians, referred to as Canadiens mainly before the nineteenth century, are an ethnic group descended from French colonists first arriving in France's colony of Canada in 1608. The vast majority of French Canadians live in the province of Quebec.
"
/m/071x0k,Not found,Not found,Not found
/m/0ffjqy,Croatian Americans,People,"Croatian Americans or Croat Americans are Americans who have full or partial Croatian ancestry. In 2012, there were 414,714 American citizens of Croat or Croatian descent living in the United States as per revised 2010 United States Census. "
/m/0ffkb4,Lithuanian Americans,People,"Lithuanian Americans refer to American citizens and residents of Lithuanian descent or were born in Lithuania.
New Philadelphia, Pennsylvania has the largest percentage of Lithuanian Americans in its population in the United States. "
/m/0g5y6,Hungarians,Ethnic group,"Hungarians, also known as Magyars, are a Central European nation and an ethnic group native to Hungary and historical Hungarian lands who share a common culture, history, ancestry, and language. "
/m/0bzkm2,Taiwanese people,People,Taiwanese people are the citizens and nationals of the Republic of China and those who reside in an overseas diaspora from the entire Taiwan Area. The term also refers to natives or inhabitants of the island of Taiwan and its associated islands. 
/m/0dllcfn,Afghans in India,People,"Afghan Indians are Indian citizens and non-citizen residents born in, or with ancestors from, Afghanistan. As of early 2021, there are at least 15,806 Afghans temporarily residing in India under a special protection and care of the United Nations High Commissioner for Refugees. "
/m/04y8_bm,Multiracial Americans,Race,"Multiracial Americans, also known as Mixed Americans, are Americans who have mixed ancestry of two or more races. The term may also include Americans of mixed-race ancestry who self-identify with just one group culturally and socially. "
/m/03gskx0,Australian Americans,Aboriginal group,Australian Americans are Americans who have Australian ancestry. The first Australian Americans were settlers in Australia who then moved on to America. 
/m/0268d21,Not found,Not found,Not found
/m/019lrz,Austrians,People,Austrians are the citizens and nationals of Austria. The English term Austrians was applied to the population of Habsburg Austria from the 17th or 18th century. 
/m/02p4q5p,Portuguese Americans,People,"Portuguese Americans, also known as Luso-Americans, are citizens and residents of the United States who are connected to the country of Portugal by birth, ancestry, or citizenship.
"
/m/04czx7,Chinese Filipinos,People,"Chinese Filipinos are Filipinos of Chinese descent with ancestry mainly from Fujian, but are typically born and raised in the Philippines. Chinese Filipinos are one of the largest overseas Chinese communities in Southeast Asia.
"
/m/02p656s,Not found,Not found,Not found
/m/0ffhz3,Albanian Americans,People,"Albanian Americans are Americans of full or partial Albanian ancestry and heritage in the United States. They trace their ancestry to the territories with a large Albanian population in the Balkans and southern Europe, including Albania, Italy, Kosovo, North Macedonia and Montenegro. "
/m/04jq32s,Not found,Not found,Not found
/m/04mmhj,British Chinese,People,"British Chinese, also known as Chinese British or Chinese Britons, are people of Chinese – particularly Han Chinese – ancestry who reside in the United Kingdom, constituting the second-largest group of Overseas Chinese in Western Europe after France.
"
/m/0dj8k3,British Jews,People,British Jews are British citizens who are Jewish. The number of people who identified as Jews in the United Kingdom rose by just under 4% between 2001 and 2021.
/m/059_w,Native Americans in the United States,People,"Native Americans are the Indigenous peoples of the United States of America, particularly of the lower 48 states and Alaska. They may also include any Americans whose origins lie in any of the indigenous peoples of North or South America. "
/m/01kg2v,Brahmin,N/A,"Brahmin is a varna within Hindu society. The other three varnas are the Kshatriya, Vaishya, and Shudra. The traditional occupation of Brahmins is that of priesthood at Hindu temples or at socio-religious ceremonies, and the performing of rite of passage rituals, such as solemnising a wedding with hymns and prayers.
"
/m/0222hg,Jats,Tribe,"The Jat people, also spelt Jaat and Jatt, are a traditionally agricultural community in Northern India and Pakistan. Originally pastoralists in the lower Indus river-valley of Sindh, many Jats migrated north into the Punjab region in late medieval times, and subsequently into the Delhi Territory, northeastern Rajputana, and the western Gangetic Plain in the 17th and 18th centuries. "
/m/0f0gt_,Asian people,People,Asian people are the people of the continent of Asia. The term may also refer to their descendants.
/m/01j2qv,Korean Americans,Ethnicity,"Korean Americans are Americans who are of full or partial Korean ethnic descent. The majority of Korean Americans trace their ancestry to South Korea.
"
/m/0ffjvd,Ukrainian Americans,People,"Ukrainian Americans are Americans who are of Ukrainian ancestry. According to U.S. census estimates, in 2021 there were 1,017,586 Americans of Ukrainian descent representing 0.3% of the American population. "
/m/032j30,Native Hawaiians,People,"Native Hawaiians are the Indigenous Polynesian people of the Hawaiian Islands.
Hawaii was settled at least 800 years ago by Polynesians who sailed from the Society Islands. "
/m/033njm,Irish Canadians,Ethnic group,Irish Canadians are Canadian citizens who have full or partial Irish heritage including descendants who trace their ancestry to immigrants who originated in Ireland. 
/m/0bs7l_v,Pakistanis,People,N/A
/m/0g48m4,Not found,Not found,Not found
/m/022fdt,Armenians,Ethnic group,Armenians are an ethnic group and nation native to the Armenian highlands of West Asia. Armenians constitute the main population of Armenia and constituted the main population of the breakaway Republic of Artsakh until the 2023 Azerbaijani offensive in Nagorno-Karabakh and the subsequent flight of Nagorno-Karabakh Armenians. 
/m/052r3t,Bhutia,People,"The Bhutias or Drejongpas are a Tibetan ethnic group native to the Indian state of Sikkim who speak Drejongke, a Tibetic language which descends from old Tibetan. "
/m/0bfjm7,Welsh Americans,Ethnic group,"Welsh Americans are an American ethnic group whose ancestry originates wholly or partly in Wales, United Kingdom. In the 2008 U.S. Census community survey, an estimated 1.98 million Americans had Welsh ancestry, 0.6% of the total U.S. population. This compares with a population of 3 million in Wales. However, 3.8% of Americans appear to bear a Welsh surname.
"
/m/01xttr,Kannadigas,Ethno-linguistic group,"The Kannadigas or Kannaḍigaru, often referred to as Kannada people, are a Dravidian ethno-linguistic group who natively speak Kannada and trace their ancestry to the South Indian state of Karnataka in India and its surrounding regions. "
/m/04ydrsn,Israeli Americans,Ethnicity,Israeli Americans are Americans who are of full or partial Israeli descent. In this category are those who are Israelis through nationality and/or citizenship. 
/m/03295l,Filipino Americans,N/A,Filipino Americans are Americans of Filipino ancestry. Filipinos in North America were first documented in the 16th century and other small settlements beginning in the 18th century. 
/m/06lshc,Niyogi Brahmin,N/A,"Niyogi Brahmin is a Telugu Brahmin subcaste native to the Indian states of Andhra Pradesh and Telangana, but are spread throughout South India and Maharashtra. The traditional occupations of the Niyogi Brahmins are settled cultivation and priesthood. "
/m/03cbkrf,English Australians,People,"English Australians, also known as Anglo-Australians, are Australians whose ancestry originates wholly or partly in England. In the 2021 census, 8,385,928 people, or 33% of the Australian population, stated that they had English ancestry. "
/m/0283js_,Not found,Not found,Not found
/m/09cqth,Romanichal,People,"The Romanichal are a Romani subgroup within the United Kingdom and other parts of the English-speaking world. Most Romanichal speak Angloromani, a mixed language that blends Romani vocabulary with English syntax. "
/m/04nrnz,Iranian peoples,People,"The Iranian peoples, or the Iranic peoples, are the collective ethno-linguistic groups who are identified chiefly by their native usage of any of the Iranian languages, which are a branch of the Indo-Iranian languages within the Indo-European language family.
"
/m/05748,Māori people,People,"Māori are the indigenous Polynesian people of mainland New Zealand. Māori originated with settlers from East Polynesia, who arrived in New Zealand in several waves of canoe voyages between roughly 1320 and 1350. "
/m/025_0f0,Swiss people,Ethnicity,"The Swiss people are the citizens of the multi-ethnic Swiss Confederation regardless of ethno-cultural background or people of self-identified Swiss ancestry.
The number of Swiss nationals has grown from 1.7 million in 1815 to 8.7 million in 2020. More than 1.5 million Swiss citizens hold multiple citizenship. About 11% of citizens live abroad. About 60% of those living abroad reside in the European Union. "
/m/01trsl,First Nations in Canada,People,"First Nations is a term used to identify Indigenous peoples in Canada who are neither Inuit nor Métis. Traditionally, First Nations in Canada were peoples who lived south of the tree line, and mainly south of the Arctic Circle. "
/m/09vmyh,Serbs of Croatia,Ethnicity,"The Serbs of Croatia or Croatian Serbs constitute the largest national minority in Croatia. The community is predominantly Eastern Orthodox Christian by religion, as opposed to the Croats who are Catholic.
"
/m/05sf2x,Italian Canadians,People,"Italian Canadians or Italo-Canadians are Canadian-born citizens who are fully or partially of Italian descent, whose ancestors were Italians who migrated to Canada as part of Italian diaspora, or Italian-born people in Canada. "
/m/09gk_6h,Argentines,People,"Argentines are the people identified with the country of Argentina. This connection may be residential, legal, historical or cultural. For most Argentines, several of these connections exist and are collectively the source of their being Argentine. "
/m/078vc,Sikhs,Adherents,"Sikhs are an ethnoreligious group who adhere to Sikhism, a religion that originated in the late 15th century in the Punjab region of the Indian subcontinent, based on the revelation of Guru Nanak. "
/m/01p7s6,Polish people,Ethnic group,"Polish people, or Poles, are a West Slavic ethnic group and nation who share a common history, culture, the Polish language and are identified with the country of Poland in Central Europe. "
/m/017sq0,Not found,Not found,Not found
/m/018s6c,Israelis,Ethnicity,"Israelis are the citizens and nationals of the State of Israel. The country's populace is composed primarily of Jews and Arabs, who respectively account for 75 percent and 20 percent of the national figure, followed by other ethnic and religious minorities, who account for 5 percent.
"
/m/04y29,Muslims,People,N/A
/m/067lts,Polish Canadians,People,"Polish Canadians are citizens of Canada with Polish ancestry, and Poles who immigrated to Canada from abroad. At the 2016 Census, there were 1,106,585 Canadians who claimed full or partial Polish heritage."
/m/05g0f1,Akan people,People,The Akan people are a Kwa group living primarily in present-day Ghana and in parts of Ivory Coast and Togo in West Africa. The Akan speak dialects within the Central Tano branch of the Potou–Tano subfamily of the Niger–Congo family. 
/m/0761bp,Chitrapur Saraswat Brahmin,N/A,"Chitrapur Saraswats are a small Konkani-speaking community of Hindu Brahmins in India. They are traditionally found along the Kanara coast and call themselves Bhanaps in the Konkani language.
"
/m/09gp4,Belarusians,Ethnic group,"Belarusians are an East Slavic ethnic group native to Belarus. They natively speak Belarusian, an East Slavic language. More than 9 million people proclaim Belarusian ethnicity worldwide. "
/m/02qv_h_,Syrian Americans,N/A,"Syrian Americans are Americans of Syrian descent or background. The first significant wave of Syrian immigrants to arrive in the United States began in the 1880s. Many of the earliest Syrian Americans settled in New York City, Boston, and Detroit. "
/m/0640_7q,Moroccan Jews,People,Moroccan Jews are Jews who live in or are from Morocco. Moroccan Jews constitute an ancient community dating to Roman times. Jews began immigrating to the region as early as 70 CE. 
/m/0912ll,Dominican Americans,People,Dominican Americans are Americans who trace their ancestry to the Dominican Republic. The phrase may refer to someone born in the United States of Dominican descent or to someone who has migrated to the United States from the Dominican Republic. 
/m/013b7g,Sephardic Jews,Ethnicity,"Sephardic Jews, also known as Sephardi Jews or Sephardim, and rarely as Iberian Peninsular Jews, are a Jewish diaspora population associated with the Iberian Peninsula. "
/m/067lrj,Greek Canadians,People,"Greek Canadians are Canadian citizens who have full or partial Greek heritage or people who emigrated from Greece and reside in Canada. According to the 2021 Census, there were 262,140 Canadians who claimed Greek ancestry."
/m/0b79c7,Kashmiris,Ethnolinguistic group,"Kashmiris are an Indo-Aryan ethnolinguistic group speaking the Kashmiri language and originating from the Kashmir Valley, which is today located in Indian-administered Jammu and Kashmir."
/m/09lz9zx,Not found,Not found,Not found
/m/01swvz,Anglo-Celtic Australians,Ethnic group,"Anglo-Celtic Australians is an ancestral grouping of Australians whose ancestors originate wholly or partially in the British Isles - predominantly in England, Ireland, Scotland and Wales, as well as the Isle of Man and Channel Islands.
"
/m/01nbcy,Taiwanese Americans,People,"Taiwanese Americans are an ethnic group in the United States consisting of Americans with full or partial ancestry from Taiwan, including American-born citizens descended from Taiwanese migrants.
"
/m/0b0gzf,Not found,Not found,Not found
/m/071drf,Saliya,N/A,"Saliya or Saliyar is a South Indian Hindu caste. Their traditional occupation was that of weaving and they are found mostly in the regions of northern Kerala, southern coastal Karnataka, Andhra Pradesh, Tamil Nadu as well as Maharashtra and Madhya Pradesh."
/m/027vy0s,Not found,Not found,Not found
